,place_id,avg_rating,no_of_rating,user_id,user_rating
0,239253351556169678235102843495337733877,2.9,1830,203056087686398359427923689742425400251,0
1,239253351556169678235102843495337733877,1.7,1736,203056087686398359427923689742425400251,4
2,248996453131353569751601957728353301655,4.1,5967,176276198857880969435041509855349475398,0
3,254198779384266246332443445699698342089,1.1,8681,203056087686398359427923689742425400251,0
4,213131841234335522899009960237236877901,4.6,1548,176276198857880969435041509855349475398,3
5,243897564843796379830190423393985921502,4.3,1767,176276198857880969435041509855349475398,0
6,194613465896003943777781416148052514751,1.3,411,203056087686398359427923689742425400251,0
7,8022711877327618582010549841921454521,3.7,7820,176276198857880969435041509855349475398,3
8,84130971479722683067968574902775566912,1.4,3003,203056087686398359427923689742425400251,0
9,231054782233383151309469433225030685121,4.0,7053,176276198857880969435041509855349475398,3
10,37756697217117322877285045960110215745,1.4,9110,203056087686398359427923689742425400251,1
11,322004955658144250600172695276767797015,2.8,9415,176276198857880969435041509855349475398,0
12,303132019517968184322232146858023826866,1.3,9393,176276198857880969435041509855349475398,4
13,306804777916809740130984310819687133602,1.4,5436,203056087686398359427923689742425400251,2
14,148975849998549704841647027920735909284,1.3,5655,203056087686398359427923689742425400251,0
15,271705779896894460812140285625212634458,1.4,1046,203056087686398359427923689742425400251,2
16,126989929691604435205109897696675933009,2.2,6189,176276198857880969435041509855349475398,4
17,242250550424318991901936105388803404492,2.5,4496,203056087686398359427923689742425400251,2
18,160867905326017122302079607974795317819,4.7,6605,203056087686398359427923689742425400251,3
19,193647757972321430381693909706994984624,2.6,7471,176276198857880969435041509855349475398,4
20,261265940275996236110542278139312108065,3.3,3470,176276198857880969435041509855349475398,2
21,131834237156958810407257496541349031378,1.5,329,176276198857880969435041509855349475398,2
22,322004955658144250600172695276767797015,1.9,7080,176276198857880969435041509855349475398,0
23,274842798774620704275589718259518741209,2.4,558,176276198857880969435041509855349475398,2
24,288057796836821092567109822698467036363,1.1,2959,176276198857880969435041509855349475398,1
25,27851441448613965639669095013045516551,4.1,6039,203056087686398359427923689742425400251,0
26,8022711877327618582010549841921454521,4.5,6072,203056087686398359427923689742425400251,1
27,239253351556169678235102843495337733877,2.9,1903,176276198857880969435041509855349475398,1
28,6473982940753426946138191939950076767,3.8,6395,203056087686398359427923689742425400251,3
29,122960058903925273072468659346064265741,3.3,6349,203056087686398359427923689742425400251,4
30,291554551979307657898362231581867752670,2.7,1845,203056087686398359427923689742425400251,0
