place_id,avg_rating,no_of_rating,user_id,user_rating
15175553060460106216,3.8,7128,4805070429361410536,1
15175552630963376616,3.6,514,4805070429361410536,2
15175550569379074536,2.1,7164,4805068926122856936,4
15175550011033326056,2.0,6962,4805070429361410536,4
15175485715372904936,2.2,834,4805070429361410536,4
15175483954436313576,3.0,2157,4805070429361410536,0
15175486917963747816,1.6,651,4805068926122856936,1
15175552115567301096,2.8,4442,4805070429361410536,1
15175498986821849576,2.7,4907,4805070429361410536,2
15175478113280791016,5.0,2338,4805068926122856936,2
15175535021597463016,4.0,5764,4805068926122856936,1
15175538543470645736,1.4,5603,4805068926122856936,1
15175479874217382376,2.7,6643,4805070429361410536,0
15175509122944668136,1.0,6332,4805068926122856936,4
15175506288266252776,3.7,3607,4805070429361410536,0
15175478714576212456,1.3,8283,4805070429361410536,2
15175496839338201576,2.1,9027,4805068926122856936,0
15175504054883258856,3.1,1359,4805068926122856936,3
15175512043522429416,3.7,6927,4805070429361410536,3
15175512601868177896,4.6,5487,4805070429361410536,3
15175474591407608296,4.1,490,4805070429361410536,0
15175492887968289256,1.6,9001,4805070429361410536,1
15175548421895426536,3.2,3292,4805068926122856936,3
15175545028871262696,4.0,6790,4805070429361410536,0
15175526131015160296,3.8,1303,4805070429361410536,1
15175468793201758696,4.1,3878,4805070429361410536,4
15175495765596377576,4.9,8596,4805070429361410536,0
15175483954436313576,3.8,5042,4805070429361410536,4
15175507362008076776,3.9,3707,4805070429361410536,0
15175546145562759656,4.8,3261,4805068926122856936,1
15175508564598919656,1.9,3198,4805070429361410536,2
15175496323942126056,1.4,3162,4805070429361410536,2
15175501134305497576,4.4,8400,4805068926122856936,2
15175519645614543336,3.6,906,4805068926122856936,3
15175532616415777256,3.6,5323,4805068926122856936,1
15175504613229007336,4.3,5183,4805068926122856936,3
15175471584930501096,4.1,7538,4805068926122856936,2
15175478714576212456,4.2,8132,4805068926122856936,2
15175499502217925096,1.9,5951,4805070429361410536,2
15175555164994081256,4.2,3849,4805068926122856936,2
15175478113280791016,3.4,7993,4805068926122856936,1
